,x
654,Rora
655,Rorb
656,Rorc
657,Rreb1
658,Rslcan18
659,Runx1
660,Runx1t1
661,Runx2
662,Runx3
663,Rxra
664,Rxrb
665,Rxrg
666,Sall1
667,Sall2
668,Sall3
669,Sall4
670,Sarnp
671,Satb1
672,Scrt1
673,Scx
674,Sim1
675,Sim2
676,Sin3a
677,Sirt1
678,Six1
679,Six2
680,Six3
681,Six4
682,Six6
683,Skil
684,Smad1
685,Smad2
686,Smad3
687,Smad4
688,Smad5
689,Smad6
690,Smad7
691,Smad9
692,Snai1
693,Snai2
694,Snai3
695,Snapc4
696,Snapc5
697,Sohlh1
698,Sohlh2
699,Sox1
700,Sox2
701,Sox4
702,Sox5
703,Sox6
704,Sox7
705,Sox8
706,Sox9
707,Sox10
708,Sox11
709,Sox12
710,Sox14
711,Sox15
712,Sox17
713,Sox18
714,Sox21
715,Sp1
716,Sp2
717,Sp3
718,Sp4
719,Sp5
720,Sp6
721,Sp7
722,Sp8
723,Sp9
724,Spdef
725,Spen
726,Spib
727,Spic
728,Spz1
729,Srebf1
730,Srebf2
731,Srf
732,Sry
733,Ss18l1
734,Ssbp2
735,Ssbp3
736,Ssbp4
737,St18
738,Stag1
739,Stag2
740,Stat1
741,Stat2
742,Stat3
743,Stat4
744,Stat5a
745,Stat5b
746,Stat6
747,Stk16
748,Strn3
749,Sub1
750,T
751,Tada2a
752,Tada2b
753,Taf1
754,Taf1b
755,Taf2
756,Taf4b
757,Taf5
758,Taf6
759,Taf7
760,Taf9
761,Taf9b
762,Taf10
763,Taf12
764,Tal1
765,Tal2
766,Tardbp
767,Tbp
768,Tbpl1
769,Tbpl2
770,Tbr1
771,Tbx1
772,Tbx2
773,Tbx3
774,Tbx4
775,Tbx5
776,Tbx6
777,Tbx10
778,Tbx15
779,Tbx18
780,Tbx19
781,Tbx20
782,Tbx21
783,Tbx22
784,Tcerg1
785,Tcf3
786,Tcf4
787,Tcf7
788,Tcf7l1
789,Tcf7l2
790,Tcf12
791,Tcf15
792,Tcf20
793,Tcf21
794,Tcf25
795,Tcfl5
796,Tead1
797,Tead2
798,Tead3
799,Tead4
800,Tef
801,Tfam
802,Tfap2a
803,Tfap2b
804,Tfap2c
805,Tfap2d
806,Tfap2e
807,Tfap4
808,Tfcp2
809,Tfcp2l1
810,Tfdp1
811,Tfdp2
812,Tfe3
813,Tfeb
814,Tfec
815,Tgif1
816,Thap11
817,Thra
818,Thrb
819,Tle4
820,Tlx1
821,Tlx2
822,Tox2
823,Trerf1
824,Trim28
825,Trp53
826,Trp63
827,Trp73
828,Trps1
829,Tsc22d1
830,Tsc22d3
831,Tsc22d4
832,Tshz1
833,Tshz2
834,Tshz3
835,Ttf1
836,Twist1
837,Twist2
838,Txk
839,Ubp1
840,Usf1
841,Usf2
842,Vax1
843,Vax2
844,Vdr
845,Vezf1
846,Vgll1
847,Vgll2
848,Vgll3
849,Wnt5a
850,Wt1
851,Xbp1
852,Ybx1
853,Ylpm1
854,Yy1
855,Zbed4
856,Zbed6
857,Zbtb4
858,Zbtb5
859,Zbtb7a
860,Zbtb7b
861,Zbtb16
862,Zbtb17
863,Zbtb20
864,Zbtb24
865,Zbtb38
866,Zc3h8
867,Zeb1
868,Zeb2
869,Zfat
870,Zfp1
871,Zfp2
872,Zfp3
873,Zfp7
874,Zfp12
875,Zfp13
876,Zfp14
877,Zfp26
878,Zfp27
879,Zfp28
880,Zfp30
881,Zfp35
882,Zfp46
883,Zfp51
884,Zfp52
885,Zfp53
886,Zfp54
887,Zfp58
888,Zfp59
889,Zfp60
890,Zfp72
891,Zfp82
892,Zfp84
893,Zfp90
894,Zfp105
895,Zfp110
896,Zfp111
897,Zfp112
898,Zfp113
899,Zfp131
900,Zfp143
901,Zfp146
902,Zfp148
903,Zfp160
904,Zfp174
905,Zfp182
906,Zfp184
907,Zfp189
908,Zfp202
909,Zfp217
910,Zfp219
911,Zfp229
912,Zfp235
913,Zfp239
914,Zfp251
915,Zfp260
916,Zfp273
917,Zfp275
918,Zfp281
919,Zfp286
920,Zfp287
921,Zfp292
922,Zfp300
923,Zfp317
924,Zfp322a
925,Zfp334
926,Zfp341
927,Zfp345
928,Zfp354a
929,Zfp354b
930,Zfp354c
931,Zfp358
932,Zfp367
933,Zfp369
934,Zfp382
935,Zfp383
936,Zfp384
937,Zfp386
938,Zfp418
939,Zfp420
940,Zfp433
941,Zfp438
942,Zfp442
943,Zfp444
944,Zfp445
945,Zfp446
946,Zfp454
947,Zfp455
948,Zfp456
949,Zfp457
950,Zfp467
951,Zfp493
952,Zfp516
953,Zfp518a
954,Zfp518b
955,Zfp523
956,Zfp536
957,Zfp541
958,Zfp560
959,Zfp568
960,Zfp595
961,Zfp599
962,Zfp600
963,Zfp605
964,Zfp606
965,Zfp612
966,Zfp623
967,Zfp628
968,Zfp629
969,Zfp639
970,Zfp641
971,Zfp647
972,Zfp655
973,Zfp661
974,Zfp668
975,Zfp677
976,Zfp692
977,Zfp707
978,Zfp712
979,Zfp715
980,Zfp746
981,Zfp747
982,Zfp750
983,Zfp760
984,Zfp770
985,Zfp772
986,Zfp780b
987,Zfp808
988,Zfp809
989,Zfp821
990,Zfp825
991,Zfp831
992,Zfp869
993,Zfp873
994,Zfp874a
995,Zfp874b
996,Zfp879
997,Zfp930
998,Zfp931
999,Zfp933
1000,Zfp934
1001,Zfp935
1002,Zfp936
1003,Zfp937
1004,Zfp940
1005,Zfp941
1006,Zfp948
1007,Zfp954
1008,Zfp957
1009,Zfp958
1010,Zfpm1
1011,Zfpm2
1012,Zglp1
1013,Zgpat
1014,Zhx1
1015,Zhx2
1016,Zhx3
1017,Zic1
1018,Zic2
1019,Zic3
1020,Zic5
1021,Zim1
1022,Zkscan1
1023,Zkscan2
1024,Zkscan3
1025,Zkscan5
1026,Zkscan6
1027,Zkscan14
1028,Zkscan16
1029,Zkscan17
1030,Zmym1
1031,Zmym2
1032,Zmym3
1033,Zmym4
1034,Zmym5
1035,Zmym6
1036,Znfx1
1037,Zscan2
1038,Zscan4c
1039,Zscan4d
1040,Zscan4f
1041,Zscan5b
1042,Zscan10
1043,Zscan12
1044,Zscan18
1045,Zscan20
1046,Zscan21
1047,Zscan29
1048,Zxdc
